uid,poverq,soverq,pq,satis,repur,recomm,VN_1009_Q20A,VN_1009_TP01,VN_1009_TP02,VN_1009_TP03,VN_1009_TP04,VN_1009_TP05,VN_1009_TP06,VN_1009_TP07,VN_1009_TP08,VN_1009_TP09,VN_1009_TP10,VN_1009_TP11,VN_1009_TP12,VN_1009_TP13,VN_1009_TP14,VN_1009_TP15,VN_1009_TP16,VN_1009_TP17,VN_1009_TP18,VN_1009_TP19,VN_1009_TP22,VN_1009_TP23,Q9C_P,Q9D,age,pincome,income,educat,childsupp,house,VN_1009_TP20_2,VN_1009_TP20_3,VN_1009_TP21_2,VN_1009_TP21_3,VN_1009_TP21_4,VN_1009_TP21_5,VN_1009_TP21_6,VN_1009_TP24_1_2,VN_1009_TP24_2_2,VN_1009_TP25A_2,VN_1009_TP25A_3,Q19_1,gender_2,race_2,race_3,race_4,race_5,work_2,work_3,work_4,work_5,work_6,marital_2,marital_3
5,1.0473096457431155,-0.4174937608590067,-1.1543550889174792,-0.48296350114955194,-1.1351044499362866,-1.6875653771635872,0.2658808820870737,-1.7752905138713984,-0.4705343446544395,-1.360434925390224,-0.6297930235305369,0.2503428605231925,0.17589340344543286,-1.2375695815136758,-1.2649325686819213,-1.3809816335609404,-0.5537477711224588,-0.6118265014873502,0.1419087673298067,-0.5088228256801026,-1.265480425071142,-1.381063945419361,1.0202468832771403,0.11699663639505505,-0.44608172005600977,1.4315485106104668,0.3263880020752954,0.20019576959400237,-0.7640160085061032,-0.46875110105161044,-0.6372356635440865,-1.219843151125227,-1.0719545202468557,0.6375613300194032,-2.28063828955185,-1.2993000116030624,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,-0.42131036581603026,0.34331491496606237,0.3132397797896853,-0.48296350114955194,-0.3502439832560539,-0.9508383366556092,0.2658808820870737,0.13555026796125352,-0.4705343446544395,-0.5267712407389952,-1.4779991158275565,0.2503428605231925,0.9106961332435861,-0.45922393276293627,0.23870198547192265,0.3465950776959046,0.30895566976939554,0.2645588184587198,-0.7021582502452524,-0.5088228256801026,0.30960217322821837,0.3167480504861153,-0.5904043384726622,0.11699663639505505,0.33480531724116264,-1.1487867694985237,-0.6645433135233251,0.20019576959400237,2.29970733387426,-0.5331289346724325,-0.7568762481099792,-1.219843151125227,-1.0719545202468557,-0.22183052173379372,0.2648945065994997,-1.2993000116030624,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-1.155620371595603,-0.4174937608590067,-0.4205576545638969,-1.3219880416916623,-1.1351044499362866,-0.9508383366556092,-0.5382956988946228,0.13555026796125352,-0.4705343446544395,-1.360434925390224,0.2184130687664828,-0.6166454010289885,0.17589340344543286,-1.2375695815136758,-1.2649325686819213,-1.3809816335609404,0.30895566976939554,-0.6118265014873502,-0.7021582502452524,0.32616847800006576,-1.265480425071142,0.3167480504861153,-0.5904043384726622,-0.6629809395719768,-0.44608172005600977,0.5714367505741367,-1.6554746291219455,-0.9316531044356937,1.0742179969221148,-0.8228291859661316,0.7984513512466266,0.2559595269846883,-0.4406967976134479,0.6375613300194032,-1.0078718914761753,-0.35220205325914455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,0.31299963996354263,0.34331491496606237,-0.4205576545638969,0.3560610393925584,0.43461648342417886,-0.9508383366556092,0.2658808820870737,1.0909706588775796,0.3186217889379113,-1.360434925390224,-1.4779991158275565,-0.6166454010289885,0.17589340344543286,-0.45922393276293627,0.9905192625488446,-1.3809816335609404,-0.5537477711224588,0.2645588184587198,0.1419087673298067,-0.5088228256801026,-1.265480425071142,-1.381063945419361,-0.5904043384726622,-0.6629809395719768,-1.2269687573531822,-0.28867500946219354,0.3263880020752954,0.20019576959400237,-0.7640160085061032,0.20721615196702092,-0.6372356635440865,-0.48194181207026937,-0.4406967976134479,0.6375613300194032,-1.0078718914761753,-0.35220205325914455,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20,-0.42131036581603026,-1.1783024366840757,0.3132397797896853,0.3560610393925584,-1.1351044499362866,-1.6875653771635872,-0.5382956988946228,0.13555026796125352,1.1077779225302622,0.30689244391223364,0.2184130687664828,-0.6166454010289885,-1.2937120561508737,-0.45922393276293627,-1.2649325686819213,-1.3809816335609404,0.30895566976939554,0.2645588184587198,-0.7021582502452524,0.32616847800006576,-1.265480425071142,-1.381063945419361,-0.5904043384726622,0.11699663639505505,-1.2269687573531822,-1.1487867694985237,-0.6645433135233251,-0.9316531044356937,1.0742179969221148,-0.40437326743078844,0.9180919358125194,0.2559595269846883,-0.4406967976134479,0.6375613300194032,-1.0078718914761753,-0.35220205325914455,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,-0.42131036581603026,0.34331491496606237,-0.4205576545638969,0.3560610393925584,0.43461648342417886,-0.9508383366556092,0.2658808820870737,1.0909706588775796,1.1077779225302622,-0.5267712407389952,0.2184130687664828,1.1173311220753734,-1.2937120561508737,0.31912171598780337,0.9905192625488446,-1.3809816335609404,0.30895566976939554,1.1409441384047898,-0.7021582502452524,0.32616847800006576,-1.265480425071142,0.3167480504861153,-1.3957299493475632,0.11699663639505505,-1.2269687573531822,-1.1487867694985237,-0.6645433135233251,-0.9316531044356937,2.29970733387426,-0.08248409932667823,0.7984513512466266,0.2559595269846883,-0.4406967976134479,1.4969531817726003,0.2648945065994997,-0.35220205325914455,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
25,-1.155620371595603,-0.4174937608590067,-0.4205576545638969,-0.48296350114955194,0.43461648342417886,-0.9508383366556092,-0.5382956988946228,1.0909706588775796,1.1077779225302622,-0.5267712407389952,1.0666191610635025,0.2503428605231925,-1.2937120561508737,0.31912171598780337,0.23870198547192265,1.210383433324327,-0.5537477711224588,0.2645588184587198,-0.7021582502452524,-0.5088228256801026,-1.265480425071142,0.3167480504861153,-0.5904043384726622,0.11699663639505505,0.33480531724116264,1.4315485106104668,0.3263880020752954,-2.06350197846539,-0.15127134003003054,0.6900499041231862,0.43952959754894827,0.2559595269846883,0.1905609250199599,0.6375613300194032,0.2648945065994997,0.5948959050847732,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29,0.31299963996354263,0.34331491496606237,-0.4205576545638969,-1.3219880416916623,-0.3502439832560539,-1.6875653771635872,-0.5382956988946228,-0.8198701229550724,-1.2596904782467904,-1.360434925390224,-1.4779991158275565,-0.6166454010289885,-0.5589093263527204,-1.2375695815136758,-1.2649325686819213,-1.3809816335609404,0.30895566976939554,-0.6118265014873502,-0.7021582502452524,-1.343814129360271,-0.47793912592146187,0.3167480504861153,-0.5904043384726622,-0.6629809395719768,0.33480531724116264,-1.1487867694985237,-1.6554746291219455,-0.9316531044356937,-0.15127134003003054,0.303782902398254,-1.9532820937689068,0.2559595269846883,0.1905609250199599,-2.8000060769933848,0.2648945065994997,0.5948959050847732,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
33,-0.42131036581603026,-0.4174937608590067,-1.1543550889174792,-0.48296350114955194,-0.3502439832560539,-0.9508383366556092,-0.5382956988946228,1.0909706588775796,0.3186217889379113,-0.5267712407389952,-1.4779991158275565,0.2503428605231925,-0.5589093263527204,-1.2375695815136758,-1.2649325686819213,-1.3809816335609404,-0.5537477711224588,-1.4882118214334203,-1.5462252678203114,-0.5088228256801026,0.30960217322821837,-0.5321579474666227,-0.5904043384726622,-1.4429585155390086,-0.44608172005600977,-0.28867500946219354,-1.6554746291219455,-0.9316531044356937,-0.15127134003003054,-0.0181062657058562,-0.9961574172417648,0.2559595269846883,0.1905609250199599,1.4969531817726003,0.2648945065994997,0.5948959050847732,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,0.31299963996354263,-1.1783024366840757,0.3132397797896853,0.3560610393925584,-1.1351044499362866,-0.9508383366556092,-0.5382956988946228,0.13555026796125352,1.1077779225302622,0.30689244391223364,-0.6297930235305369,0.2503428605231925,-0.5589093263527204,-1.2375695815136758,0.23870198547192265,0.3465950776959046,0.30895566976939554,-0.6118265014873502,-0.7021582502452524,0.32616847800006576,0.30960217322821837,0.3167480504861153,0.21492127240223904,-0.6629809395719768,0.33480531724116264,-1.1487867694985237,0.3263880020752954,0.20019576959400237,1.6869626653981875,-0.8550181027765427,-0.5175950789781937,-0.48194181207026937,0.1905609250199599,0.6375613300194032,0.2648945065994997,0.5948959050847732,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
